City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Berlin,100,DE,1603248869,93,52.52,13.41,52.0,6.93
Tasiilaq,100,GL,1603248869,97,65.61,-37.64,32.0,18.34
Bambous Virieux,40,MU,1603248869,83,-20.34,57.76,77.0,10.29
Yumen,0,CN,1603248869,27,40.28,97.2,59.07,11.25
Vila Franca do Campo,20,PT,1603248870,72,37.72,-25.43,59.0,12.75
Mahébourg,40,MU,1603248871,83,-20.41,57.7,73.4,10.29
Saskylakh,90,RU,1603248871,97,71.92,114.08,19.62,8.63
Vaini,75,TO,1603248872,69,-21.2,-175.2,75.2,6.93
George Town,20,MY,1603248704,88,5.41,100.34,78.8,4.7
Rikitea,28,PF,1603248809,76,-23.12,-134.97,73.92,9.62
Vestmanna,3,FO,1603248874,75,62.16,-7.17,41.0,8.05
Lodja,100,CD,1603248875,97,-3.48,23.43,69.73,0.74
Saint Paul Harbor,1,US,1603248612,45,57.79,-152.41,46.4,10.29
Hobart,75,AU,1603248799,51,-42.88,147.33,66.0,5.82
Narsaq,100,GL,1603248821,86,60.92,-46.05,30.2,2.24
Yellowknife,20,CA,1603248877,85,62.46,-114.35,21.99,6.93
Lebu,0,CL,1603248639,79,-37.62,-73.65,48.76,16.8
Punta Arenas,75,CL,1603248727,75,-53.15,-70.92,41.0,5.82
Clyde River,75,CA,1603248846,79,70.47,-68.59,26.6,10.29
Dzilam González,0,MX,1603248644,94,21.28,-88.93,75.99,3.24
Mataura,18,NZ,1603248879,59,-46.19,168.86,57.0,11.01
Coshocton,98,US,1603248880,93,40.27,-81.86,55.99,3.69
Vazante,100,BR,1603248880,95,-17.99,-46.91,66.36,2.82
Lisala,100,CD,1603248880,99,2.15,21.52,69.89,3.27
Hasaki,40,JP,1603248647,52,35.73,140.83,70.0,14.99
Herat Province,0,AF,1603248881,27,34.5,62.0,41.0,4.7
Atar,0,MR,1603248881,27,20.52,-13.05,84.18,5.32
Saint-Pierre,1,RE,1603248882,53,-21.34,55.48,72.0,6.93
Xining,0,CN,1603248882,44,36.62,101.77,46.13,1.68
Yerbogachën,100,RU,1603248882,93,61.28,108.01,22.44,9.91
Provideniya,90,RU,1603248883,87,64.38,-173.3,44.6,8.95
Husavik,63,IS,1603248883,92,66.04,-17.34,23.0,3.36
Saint-Philippe,10,RE,1603248884,53,-21.36,55.77,72.0,6.93
Arraial do Cabo,0,BR,1603248884,86,-22.97,-42.03,72.21,19.66
Margate,100,GB,1603248884,90,51.38,1.39,59.0,4.0
Codrington,24,AU,1603248885,69,-38.27,141.97,58.5,8.23
Sioux Lookout,75,CA,1603248817,89,50.1,-91.92,32.0,3.36
Ambunti,59,PG,1603248886,51,-4.24,142.84,93.04,1.74
Kapaa,90,US,1603248887,83,22.08,-159.32,80.01,9.17
Tiksi,77,RU,1603248888,92,71.69,128.87,8.31,8.7
Lompoc,90,US,1603248748,93,34.64,-120.46,57.2,8.05
New Norfolk,97,AU,1603248643,50,-42.78,147.06,64.0,3.0
Tumut,80,AU,1603248614,60,-35.3,148.22,70.12,5.44
Temple,1,US,1603248850,61,31.1,-97.34,78.8,10.29
Marsá Maţrūḩ,62,EG,1603248892,83,31.35,27.25,69.8,7.18
Gaoual,0,GN,1603248892,87,11.75,-13.2,73.9,1.95
